"variable","item"
"Q629R5","Q629"
"Q629R6","Q629"
"Q629R7","Q629"
"Q630_Q632R1","Q630_Q632R1"
"Q630_Q632R2","Q630_Q632R2"
"Q630_Q632R3","Q630_Q632R3"
"Q633","Q633"
"Q639","Q639"
"Q640_Q645R1","Q640_Q645R1"
"Q640_Q645R2","Q640_Q645R2"
"Q640_Q645R3","Q640_Q645R3"
"Q640_Q645R4","Q640_Q645R4"
"Q640_Q645R5","Q640_Q645R5"
"Q640_Q645R6","Q640_Q645R6"
"Q646_Q651R1","Q646_Q651R1"
"Q646_Q651R2","Q646_Q651R2"
"Q646_Q651R3","Q646_Q651R3"
"Q646_Q651R4","Q646_Q651R4"
"Q646_Q651R5","Q646_Q651R5"
"Q646_Q651R6","Q646_Q651R6"
"Q646_Q651R7","Q646_Q651R7"
"Q646_Q651R8","Q646_Q651R8"
"Q646_Q651R9","Q646_Q651R9"
"Q646_Q651R10","Q646_Q651R10"
"Q646_Q651R11","Q646_Q651R11"
"Q652_Q658R1","Q652_Q658R1"
"Q652_Q658R2","Q652_Q658R2"
"Q652_Q658R3","Q652_Q658R3"
"Q652_Q658R4","Q652_Q658R4"
"Q652_Q658R5","Q652_Q658R5"
"Q652_Q658R6","Q652_Q658R6"
"Q652_Q658R7","Q652_Q658R7"
"Q659R1","Q659"
"Q659R2","Q659"
"Q659R3","Q659"
"Q659R4","Q659"
"Q659R5","Q659"
"Q659R6","Q659"
"Q659R7","Q659"
"Q659R8","Q659"
"Q660","Q660"
"Q661","Q661"
"Q662R1","Q662"
"Q662R2","Q662"
"Q662R3","Q662"
"Q662R4","Q662"
"Q662R5","Q662"
"Q662R6","Q662"
"Q663_Q666R1","Q663_Q666R1"
"Q663_Q666R2","Q663_Q666R2"
"Q663_Q666R3","Q663_Q666R3"
"Q663_Q666R4","Q663_Q666R4"
"Q667_Q671R1","Q667_Q671R1"
"Q667_Q671R2","Q667_Q671R2"
"Q667_Q671R3","Q667_Q671R3"
"Q667_Q671R4","Q667_Q671R4"
"Q667_Q671R5","Q667_Q671R5"
"Q672","Q672"
"Q673","Q673"
"Q674R1","Q674R1"
"Q675","Q675"
"Q676_Q678R1","Q676_Q678R1"
"Q676_Q678R2","Q676_Q678R2"
"Q676_Q678R3","Q676_Q678R3"
"Q679_Q682R1","Q679_Q682R1"
"Q679_Q682R2","Q679_Q682R2"
"Q679_Q682R3","Q679_Q682R3"
"Q679_Q682R4","Q679_Q682R4"
"Q683","Q683"
"Q684","Q684"
"Q685","Q685"
"Q686","Q686"
"Q687","Q687"
"Q688","Q688"
"Q689","Q689"
"Q690","Q690"
"Q691","Q691"
"Q692","Q692"
"Q693_Q700R1","Q693_Q700R1"
"Q693_Q700R2","Q693_Q700R2"
"Q693_Q700R3","Q693_Q700R3"
"Q693_Q700R4","Q693_Q700R4"
"Q693_Q700R5","Q693_Q700R5"
"Q693_Q700R6","Q693_Q700R6"
"Q693_Q700R7","Q693_Q700R7"
"Q693_Q700R8","Q693_Q700R8"
"Q701_Q705R1","Q701_Q705R1"
"Q701_Q705R2","Q701_Q705R2"
"Q701_Q705R3","Q701_Q705R3"
"Q701_Q705R4","Q701_Q705R4"
"Q701_Q705R5","Q701_Q705R5"
"Q706_Q708R1","Q706_Q708R1"
"Q706_Q708R2","Q706_Q708R2"
"Q706_Q708R3","Q706_Q708R3"
"Q709_712R1","Q709_712R1"
"Q709_712R2","Q709_712R2"
"Q709_712R3","Q709_712R3"
"Q709_712R4","Q709_712R4"
"Q713","Q713"
"Q714","Q714"
"Q715_718R1","Q715_718R1"
"Q715_718R2","Q715_718R2"
"Q715_718R3","Q715_718R3"
"Q715_718R4","Q715_718R4"
"Q719","Q719"
"Q720_Q722R1","Q720_Q722R1"
"Q720_Q722R2","Q720_Q722R2"
"Q720_Q722R3","Q720_Q722R3"
"Q723_Q725R1","Q723_Q725R1"
"Q723_Q725R2","Q723_Q725R2"
"Q723_Q725R3","Q723_Q725R3"
"Q726","Q726"
"Q727_Q731R1","Q727_Q731R1"
"Q727_Q731R2","Q727_Q731R2"
"Q727_Q731R3","Q727_Q731R3"
"Q727_Q731R4","Q727_Q731R4"
"Q727_Q731R5","Q727_Q731R5"
"Q732_Q737R1","Q732_Q737R1"
"Q732_Q737R2","Q732_Q737R2"
"Q732_Q737R3","Q732_Q737R3"
"Q732_Q737R4","Q732_Q737R4"
"Q732_Q737R5","Q732_Q737R5"
"Q732_Q737R6","Q732_Q737R6"
"Q738_Q740R1","Q738_Q740R1"
"Q738_Q740R2","Q738_Q740R2"
"Q738_Q740R3","Q738_Q740R3"
"Q741","Q741"
"Q742","Q742"
"Q743","Q743"
"Q744","Q744"
"Q745","Q745"
"Q746A","Q746A"
"Q746B","Q746B"
"Q747","Q747"
"Q748","Q748"
"Q749","Q749"
"Q750R1","Q750"
"Q750R2","Q750"
"Q750R3","Q750"
"Q750R4","Q750"
"Q750R5","Q750"
"Q750R6","Q750"
"Q750R7","Q750"
"Q751R1","Q751"
"Q751R2","Q751"
"Q751R3","Q751"
"Q751R4","Q751"
"Q751R5","Q751"
"Q752","Q752"
"Q753","Q753"
"Q754_Q762R1C1","Q754_Q762R1"
"Q754_Q762R1C2","Q754_Q762R1"
"Q754_Q762R1C3","Q754_Q762R1"
"Q754_Q762R2C1","Q754_Q762R2"
"Q754_Q762R2C2","Q754_Q762R2"
"Q754_Q762R2C3","Q754_Q762R2"
"Q754_Q762R3C1","Q754_Q762R3"
"Q754_Q762R3C2","Q754_Q762R3"
"Q754_Q762R3C3","Q754_Q762R3"
"Q754_Q762R4C1","Q754_Q762R4"
"Q754_Q762R4C2","Q754_Q762R4"
"Q754_Q762R4C3","Q754_Q762R4"
"Q754_Q762R5C1","Q754_Q762R5"
"Q754_Q762R5C2","Q754_Q762R5"
"Q754_Q762R5C3","Q754_Q762R5"
"Q754_Q762R6C1","Q754_Q762R6"
"Q754_Q762R6C2","Q754_Q762R6"
"Q754_Q762R6C3","Q754_Q762R6"
"Q754_Q762R7C1","Q754_Q762R7"
"Q754_Q762R7C2","Q754_Q762R7"
"Q754_Q762R7C3","Q754_Q762R7"
"Q754_Q762R8C1","Q754_Q762R8"
"Q754_Q762R8C2","Q754_Q762R8"
"Q754_Q762R8C3","Q754_Q762R8"
"Q754_Q762R9C1","Q754_Q762R9"
"Q754_Q762R9C2","Q754_Q762R9"
"Q754_Q762R9C3","Q754_Q762R9"
"Q763_Q766R1","Q763_Q766R1"
"Q763_Q766R2","Q763_Q766R2"
"Q763_Q766R3","Q763_Q766R3"
"Q763_Q766R4","Q763_Q766R4"
"Q767_Q771R1","Q767_Q771R1"
"Q767_Q771R2","Q767_Q771R2"
"Q767_Q771R3","Q767_Q771R3"
"Q767_Q771R4","Q767_Q771R4"
"Q767_Q771R5","Q767_Q771R5"
"Q773","Q773"
"VQ773","VQ773"
"Q774","Q774"
"VQ774","VQ774"
"Q775","Q775"
"Q777","Q777"
"Q779","Q779"
"Q782","Q782"
"Q785","Q785"
"Q788","Q788"
"Q790","Q790"
"Q793R1","Q793"
"Q793R2","Q793"
"Q793R3","Q793"
"Q793R4","Q793"
"Q793R5","Q793"
"Q794R1","Q794"
"Q794R2","Q794"
"Q794R3","Q794"
"Q794R4","Q794"
"Q794R5","Q794"
"Q794R6","Q794"
"Q795","Q795"
"Q796R1","Q796"
"Q796R2","Q796"
"Q796R3","Q796"
"Q796R4","Q796"
"Q796R5","Q796"
"Q797R1","Q797"
"Q797R2","Q797"
"Q797R3","Q797"
"Q797R4","Q797"
"Q797R5","Q797"
"Q797R6","Q797"
"Q797R7","Q797"
"Q797R8","Q797"
"Q797R9","Q797"
"Q797R10","Q797"
"Q798R1","Q798"
"Q798R2","Q798"
"Q798R3","Q798"
"Q798R4","Q798"
"Q798R5","Q798"
"Q798R6","Q798"
"Q798R7","Q798"
"Q798R8","Q798"
"Q798R9","Q798"
"Q798R10","Q798"
"Q799R1C1","Q799"
"Q799R2C1","Q799"
"Q799R3C1","Q799"
"Q799R4C1","Q799"
"Q799R5C1","Q799"
"Q799R6C1","Q799"
"Q799R7C1","Q799"
"Q799R8C1","Q799"
"Q800R1C1","Q800"
"Q800R2C1","Q800"
"Q800R3C1","Q800"
"Q800R4C1","Q800"
"Q800R5C1","Q800"
"Q800R6C1","Q800"
"Q800R7C1","Q800"
"Q800R8C1","Q800"
"Q801","Q801"
"Q802","Q802"
"Q803","Q803"
"Q804","Q804"
"Q805","Q805"
"Q806","Q806"
"Q807","Q807"
"Q808","Q808"
"Q809","Q809"
"Q810","Q810"
"Q811","Q811"
"Q812","Q812"
"Q813","Q813"
"Q814","Q814"
"Q815","Q815"
"Q816","Q816"
"Q817","Q817"
"Q818","Q818"
"Q819","Q819"
"Q820","Q820"
"Q821J","Q821J"
"Q825J","Q825J"
"Q822J","Q822J"
"Q823J","Q823J"
"Q824J","Q824J"
"Q822K","Q822K"
"Q825K","Q825K"
"Q821K","Q821K"
"Q823K","Q823K"
"Q824K","Q824K"
"Q823L","Q823L"
"Q825L","Q825L"
"Q821L","Q821L"
"Q822L","Q822L"
"Q824L","Q824L"
"Q824M","Q824M"
"Q825M","Q825M"
"Q821M","Q821M"
"Q822M","Q822M"
"Q823M","Q823M"
"Q825N","Q825N"
"Q821N","Q821N"
"Q822N","Q822N"
"Q823N","Q823N"
"Q824N","Q824N"
"Q821","Q821"
"Q822","Q822"
"Q823","Q823"
"Q824","Q824"
"Q825","Q825"
"Q826R1","Q826"
"Q826R2","Q826"
"Q826R3","Q826"
"Q826R4","Q826"
"Q826R5","Q826"
"Q826R7","Q826"
"Q826R6","Q826"
"Q826A","Q826A"
