"spec","item","variable","response","refits","n_min","n_max","mean_shap","minimum","maximum","positive_refits","negative_refits"
"diagnostic","Q754_Q762R4","Q754_Q762R4C1","(1) Yes, me",3,54,63,-6.39234008884004e-05,-0.000143859182913698,-1.03621599163126e-05,0,3
"diagnostic","Q754_Q762R4","Q754_Q762R4C2","(0) NO TO: Yes, someone else in my household",3,477,480,2.86805317254865e-05,1.9359911363089e-06,4.60375840390593e-05,3,0
"diagnostic","Q754_Q762R4","Q754_Q762R4C2","(1) Yes, someone else in my household",3,41,44,-0.000117988526388541,-0.000180687241581349,3.10835712903039e-06,1,2
"diagnostic","Q754_Q762R4","Q754_Q762R4C3","(0) NO TO: No, nobody in my household",3,93,101,-7.86260021686116e-05,-0.000143580636716806,-1.95673000959678e-05,0,3
"diagnostic","Q754_Q762R4","Q754_Q762R4C3","(1) No, nobody in my household",3,420,428,4.07575494553417e-05,6.95308995404725e-06,7.07061721207771e-05,3,0
"diagnostic","Q754_Q762R5","Q754_Q762R5C1","(0) NO TO: Yes, me",3,487,496,-9.30991732304285e-07,-1.37320599623293e-05,1.58126372556045e-05,1,2
"diagnostic","Q754_Q762R5","Q754_Q762R5C1","(1) Yes, me",3,25,34,7.66482798819103e-05,-2.54159341101754e-05,0.00023103673450187,2,1
"diagnostic","Q754_Q762R5","Q754_Q762R5C2","(0) NO TO: Yes, someone else in my household",3,486,499,-7.30249863688906e-06,-1.33199555572239e-05,-3.70955980689472e-06,0,3
"diagnostic","Q754_Q762R5","Q754_Q762R5C2","(1) Yes, someone else in my household",3,22,35,0.000149371320626199,2.65863819799432e-05,0.000256403861460165,3,0
"diagnostic","Q754_Q762R5","Q754_Q762R5C3","(0) NO TO: No, nobody in my household",3,42,63,0.000113794757597979,2.58453238974274e-05,0.000188505506598122,3,0
"diagnostic","Q754_Q762R5","Q754_Q762R5C3","(1) No, nobody in my household",3,458,479,-9.34818796462402e-06,-2.07497769609523e-05,-6.67158665327319e-07,0,3
"diagnostic","Q754_Q762R6","Q754_Q762R6C1","(0) NO TO: Yes, me",3,473,485,1.51417123208411e-05,-2.43569749284083e-05,5.78903710334431e-05,2,1
"diagnostic","Q754_Q762R6","Q754_Q762R6C1","(1) Yes, me",3,36,48,7.03118621163833e-05,-0.000163174730966342,0.000363861525082591,2,1
"diagnostic","Q754_Q762R6","Q754_Q762R6C2","(0) NO TO: Yes, someone else in my household",3,488,508,1.60867732622548e-05,-1.34922657946171e-05,4.15059774637004e-05,2,1
"diagnostic","Q754_Q762R6","Q754_Q762R6C2","(1) Yes, someone else in my household",3,13,33,5.18355814964842e-06,-0.000306481698028323,0.000278965508425822,2,1
"diagnostic","Q754_Q762R6","Q754_Q762R6C3","(0) NO TO: No, nobody in my household",3,50,77,6.21542764103768e-05,-7.47605818359009e-05,0.000328598378915798,1,2
"diagnostic","Q754_Q762R6","Q754_Q762R6C3","(1) No, nobody in my household",3,444,471,1.08219263101417e-05,-4.63468434867661e-05,5.78420699215601e-05,2,1
"diagnostic","Q754_Q762R7","Q754_Q762R7C1","(0) NO TO: Yes, me",3,471,472,-6.88258799225939e-06,-1.49690691518743e-05,-2.46287903172218e-06,0,3
"diagnostic","Q754_Q762R7","Q754_Q762R7C1","(1) Yes, me",3,49,50,3.99553310722721e-05,-1.47527845143352e-05,0.000110041250455939,2,1
"diagnostic","Q754_Q762R7","Q754_Q762R7C2","(0) NO TO: Yes, someone else in my household",3,480,489,-3.99477794402742e-06,-5.80360124262804e-06,-2.86410624049967e-06,0,3
"diagnostic","Q754_Q762R7","Q754_Q762R7C2","(1) Yes, someone else in my household",3,32,41,1.67282584535017e-05,-1.34672952257135e-05,6.45772138495043e-05,1,2
"diagnostic","Q754_Q762R7","Q754_Q762R7C3","(0) NO TO: No, nobody in my household",3,79,84,2.91369993167969e-05,-1.48751785288414e-05,5.96929358347114e-05,2,1
"diagnostic","Q754_Q762R7","Q754_Q762R7C3","(1) No, nobody in my household",3,437,442,-8.84977952277295e-06,-1.56040880594886e-05,-1.46434795365015e-06,0,3
"diagnostic","Q754_Q762R8","Q754_Q762R8C1","(0) NO TO: Yes, me",3,458,472,9.4869009909504e-06,-5.58204616087141e-06,3.10331738613442e-05,2,1
"diagnostic","Q754_Q762R8","Q754_Q762R8C1","(1) Yes, me",3,49,63,-7.98521704901788e-05,-0.000217411706898104,2.30894710500689e-05,1,2
"diagnostic","Q754_Q762R8","Q754_Q762R8C2","(0) NO TO: Yes, someone else in my household",3,477,481,3.22484981528423e-05,-6.80266091280507e-06,9.32416772178299e-05,2,1
"diagnostic","Q754_Q762R8","Q754_Q762R8C2","(1) Yes, someone else in my household",3,40,44,-0.000334546892571254,-0.000903497969112708,3.76137559482941e-05,1,2
"diagnostic","Q754_Q762R8","Q754_Q762R8C3","(0) NO TO: No, nobody in my household",3,79,94,-0.000178402997123194,-0.000508624634442528,3.30134807939493e-05,1,2
"diagnostic","Q754_Q762R8","Q754_Q762R8C3","(1) No, nobody in my household",3,427,442,3.52747877489903e-05,-1.00864381931375e-05,0.000105728362997191,2,1
"diagnostic","Q754_Q762R9","Q754_Q762R9C1","(0) NO TO: Yes, me",3,429,445,1.18852422425891e-05,0,2.47089218934277e-05,2,0
"diagnostic","Q754_Q762R9","Q754_Q762R9C1","(1) Yes, me",3,76,92,3.36111551721407e-06,-1.32351975380673e-06,1.14068663054489e-05,1,1
"diagnostic","Q754_Q762R9","Q754_Q762R9C2","(0) NO TO: Yes, someone else in my household",3,468,485,1.36872313152654e-05,0,2.46204724840883e-05,2,0
"diagnostic","Q754_Q762R9","Q754_Q762R9C2","(1) Yes, someone else in my household",3,36,53,-2.53792266772091e-05,-5.30128009392175e-05,0,0,2
"diagnostic","Q754_Q762R9","Q754_Q762R9C3","(0) NO TO: No, nobody in my household",3,108,136,-7.44035115147181e-06,-1.13416149051333e-05,0,0,2
"diagnostic","Q754_Q762R9","Q754_Q762R9C3","(1) No, nobody in my household",3,385,413,1.50722039672604e-05,0,2.90641377865725e-05,2,0
"diagnostic","Q763_Q766R1","Q763_Q766R1","(1) Yes",3,32,39,-4.27207127480488e-06,-7.70427117165421e-05,4.36334709518054e-05,2,1
"diagnostic","Q763_Q766R1","Q763_Q766R1","(2) No",3,111,125,-0.00012477771887555,-0.000337037251866823,-1.69714997652644e-05,0,3
"diagnostic","Q763_Q766R1","Q763_Q766R1","Not observed / routed",3,357,378,2.62968630435956e-05,4.07647945634777e-06,6.9534941059123e-05,3,0
"diagnostic","Q763_Q766R2","Q763_Q766R2","(1) Yes",3,50,55,1.79969809732217e-05,-4.3664287776804e-05,7.96225889156847e-05,2,1
"diagnostic","Q763_Q766R2","Q763_Q766R2","(2) No",3,93,112,-0.000107567039213775,-0.000182205382435959,-2.21239319000068e-05,0,3
"diagnostic","Q763_Q766R2","Q763_Q766R2","Not observed / routed",3,357,378,2.7442100115148e-05,-2.60622393976436e-05,5.84670338816224e-05,2,1
"diagnostic","Q763_Q766R3","Q763_Q766R3","(1) Yes",3,54,58,-2.0905510286333e-05,-3.72208995524117e-05,0,0,2
"diagnostic","Q763_Q766R3","Q763_Q766R3","(2) No",3,86,106,-7.02505885979894e-05,-0.000128864762340026,0,0,2
"diagnostic","Q763_Q766R3","Q763_Q766R3","Not observed / routed",3,357,378,2.90297231779246e-05,0,5.43523447199216e-05,2,0
"diagnostic","Q763_Q766R4","Q763_Q766R4","(1) Yes",3,69,78,-5.88398620874114e-05,-0.000118363127141164,0,0,2
"diagnostic","Q763_Q766R4","Q763_Q766R4","(2) No",3,65,95,-5.3389020022373e-05,-0.000128463205303232,0,0,2
"diagnostic","Q763_Q766R4","Q763_Q766R4","Not observed / routed",3,357,378,1.68124005164077e-05,0,3.46384548926449e-05,2,0
"diagnostic","Q767_Q771R1","Q767_Q771R1","(1) Yes",3,35,48,8.94519889216572e-05,-6.31209174364428e-06,0.000155133422381503,2,1
"diagnostic","Q767_Q771R1","Q767_Q771R1","(2) No",3,72,82,5.71679791240368e-05,-8.76926665265785e-06,0.000111718631593309,2,1
"diagnostic","Q767_Q771R1","Q767_Q771R1","Not observed / routed",3,398,410,-1.45135005785741e-05,-2.83773610196287e-05,-6.48480386301435e-06,0,3
"diagnostic","Q767_Q771R2","Q767_Q771R2","(1) Yes",3,18,19,1.14738386440988e-05,0,3.44215159322964e-05,1,0
"diagnostic","Q767_Q771R2","Q767_Q771R2","(2) No",3,93,104,1.40078013193148e-05,0,4.20234039579445e-05,1,0
"diagnostic","Q767_Q771R2","Q767_Q771R2","Not observed / routed",3,398,410,-1.86491080903625e-06,-5.59473242710874e-06,0,0,1
"diagnostic","Q767_Q771R3","Q767_Q771R3","(1) Yes",1,10,10,0.000406337916133614,0.000406337916133614,0.000406337916133614,1,0
"diagnostic","Q767_Q771R3","Q767_Q771R3","(2) No",3,105,113,1.29843623409784e-05,-6.18616846669778e-06,4.5139255489633e-05,1,1
"diagnostic","Q767_Q771R3","Q767_Q771R3","Not observed / routed",3,398,410,-1.281397343418e-05,-3.15881995097593e-05,0,0,2
"diagnostic","Q767_Q771R4","Q767_Q771R4","(1) Yes",3,25,28,0.000304609589053668,0,0.000913828767161003,1,0
"diagnostic","Q767_Q771R4","Q767_Q771R4","(2) No",3,86,95,-1.29907173179019e-05,-3.89721519537057e-05,0,0,1
"diagnostic","Q767_Q771R4","Q767_Q771R4","Not observed / routed",3,398,410,-1.54684725301103e-05,-4.64054175903309e-05,0,0,1
"diagnostic","Q767_Q771R5","Q767_Q771R5","(1) Yes",2,10,11,6.6544083713127e-05,0,0.000133088167426254,1,0
"diagnostic","Q767_Q771R5","Q767_Q771R5","(2) No",3,101,114,2.13362110451809e-05,0,6.40086331355428e-05,1,0
"diagnostic","Q767_Q771R5","Q767_Q771R5","Not observed / routed",3,398,410,-3.82292423876922e-06,-1.14687727163077e-05,0,0,1
"diagnostic","Q76","Q76R1","(1) 1",3,185,198,-3.73714120341099e-05,-0.000125549501903415,7.92852730471209e-05,1,2
"diagnostic","Q76","Q76R1","(2) 2",3,130,149,0.000106878523578842,-3.20805570968209e-05,0.000265837858109761,2,1
"diagnostic","Q76","Q76R1","(3) 3",3,45,61,0.000136818594604251,4.88924657832139e-06,0.000304295780328029,3,0
"diagnostic","Q76","Q76R1","(4) 4",3,36,43,-3.17928619176725e-05,-0.000368713111222825,0.000144491797913161,2,1
"diagnostic","Q76","Q76R1","(5) 5",3,19,29,-0.000194988656806014,-0.000420277669046591,-7.43624292945474e-05,0,3
"diagnostic","Q76","Q76R1","(6) 6",3,68,80,-4.10755606016329e-06,-6.22027343609829e-05,8.53264931832589e-05,1,2
"diagnostic","Q76","Q76R2","(1) 1",3,263,272,8.45035448257552e-05,-7.7001398840062e-05,0.000209317585628881,2,1
"diagnostic","Q76","Q76R2","(2) 2",3,150,158,-7.73925555422643e-05,-0.000140474586095585,-3.6651131892613e-05,0,3
"diagnostic","Q76","Q76R2","(3) 3",3,49,54,-0.000199326812825637,-0.00053449102951617,-1.50835565551522e-05,0,3
"diagnostic","Q76","Q76R2","(4) 4",3,21,33,-8.76713261368837e-05,-0.000161614878806055,5.4354141682862e-05,1,2
"diagnostic","Q76","Q76R2","(5) 5",3,13,19,0.000661854406744932,-0.000694506414135367,0.00219708851489611,2,1
"diagnostic","Q76","Q76R3","(1) 1",3,17,22,-0.000620066378525109,-0.00116680713460996,0.000263078230690497,1,2
"diagnostic","Q76","Q76R3","(2) 2",3,62,67,3.63113882402526e-05,-2.75326274276867e-05,0.000117106368776381,2,1
"diagnostic","Q76","Q76R3","(3) 3",3,95,116,5.8565859280567e-05,-4.51700765989371e-05,0.000245591779670114,1,2
"diagnostic","Q76","Q76R3","(4) 4",3,92,103,4.58589937532177e-05,-0.000137535106773071,0.00029688023186672,1,2
"diagnostic","Q76","Q76R3","(5) 5",3,101,111,5.47956334015162e-05,-2.89249912677302e-05,0.000124033299631932,2,1
"diagnostic","Q76","Q76R3","(6) 6",3,118,128,4.00691385980408e-05,-0.000133250391421822,0.000138489274781603,2,1
"diagnostic","Q76","Q76R4","(1) 1",3,11,27,0.000207836662654837,-0.000107932742067752,0.000474658242922874,2,1
"diagnostic","Q76","Q76R4","(2) 2",3,58,77,-7.28620468011512e-05,-0.000344719574135049,0.000160202176544498,1,2
"diagnostic","Q76","Q76R4","(3) 3",3,134,150,-2.07661907540381e-05,-0.000110760158470867,6.37666679306289e-05,1,2
"diagnostic","Q76","Q76R4","(4) 4",3,129,148,-6.12502784340219e-05,-0.000161370171886542,1.90439131031801e-05,1,2
"diagnostic","Q76","Q76R4","(5) 5",3,108,110,0.000162021657202661,-0.00037301081334826,0.000669963846876633,2,1
"diagnostic","Q76","Q76R4","(6) 6",3,35,50,0.000169530068755226,-6.19223675543742e-05,0.000524403836973666,2,1
"diagnostic","Q76","Q76R5","(1) 1",3,15,22,3.51559658978823e-05,-2.30652890690501e-05,7.71558775605709e-05,2,1
"diagnostic","Q76","Q76R5","(2) 2",3,76,90,0.000158365646154698,8.91286136786148e-05,0.000245956808732269,3,0
"diagnostic","Q76","Q76R5","(3) 3",3,107,124,5.15385772947017e-05,2.09888926245402e-06,0.000118727542891758,3,0
"diagnostic","Q76","Q76R5","(4) 4",3,116,143,0.000124440464595984,9.99752073453868e-05,0.000162581651835377,3,0
"diagnostic","Q76","Q76R5","(5) 5",3,91,96,-9.83375504383192e-05,-0.000171311172812198,-5.3464503332326e-05,0,3
"diagnostic","Q76","Q76R5","(6) 6",3,78,87,-0.000179678322763244,-0.000467892864885953,-5.95193602314742e-06,0,3
"diagnostic","Q76","Q76R6","(2) 2",3,14,17,-0.000252665659946687,-0.000990632377475371,0.000284095273231338,1,2
"diagnostic","Q76","Q76R6","(3) 3",3,40,54,9.86437650188691e-05,6.64398445251932e-05,0.00014058162919807,3,0
"diagnostic","Q76","Q76R6","(4) 4",3,87,97,5.00416038945069e-05,8.98396623801668e-06,9.72573529119043e-05,3,0
"diagnostic","Q76","Q76R6","(5) 5",3,167,176,-5.20972580206484e-05,-0.000176435094561281,6.14159123495856e-05,1,2
"diagnostic","Q76","Q76R6","(6) 6",3,181,196,9.0124497764279e-05,-9.80392266367135e-05,0.000297159101309537,2,1
"diagnostic","Q773","Q773","(001) Less than a year",3,14,16,0.000100040782289093,2.88801630676892e-06,0.000157096490840566,3,0
"diagnostic","Q773","Q773","(002) 1 year",2,11,11,0.000184609393031665,8.41639636645455e-05,0.000285054822398785,2,0
"diagnostic","Q773","Q773","(102) 2 years",3,15,20,-2.05843713348153e-05,-5.91878917649628e-05,5.24715219906256e-05,1,2
"diagnostic","Q773","Q773","(103) 3 years",3,20,30,3.375993962894e-05,-4.16913807308245e-05,8.92820427497347e-05,2,1
"diagnostic","Q773","Q773","(104) 4 years",3,15,21,9.02895147017996e-05,-0.000278586250855664,0.000684803591969902,1,2
"diagnostic","Q773","Q773","(105) 5 years",3,19,26,0.000139945404547027,-2.00971578404851e-05,0.000310641897144826,2,1
"diagnostic","Q773","Q773","(106) 6 years",3,19,22,8.64449797839156e-05,-8.45215301002621e-06,0.000158986162706979,2,1
"diagnostic","Q773","Q773","(107) 7 years",1,13,13,-0.00123665903006711,-0.00123665903006711,-0.00123665903006711,0,1
"diagnostic","Q773","Q773","(108) 8 years",2,10,17,-4.41961511865119e-05,-0.000333767825220795,0.000245375522847771,1,1
"diagnostic","Q773","Q773","(110) 10 years",3,12,22,7.26094185645311e-05,-2.43844559339814e-05,0.000123919030135407,2,1
"diagnostic","Q773","Q773","(111) 11 years",1,14,14,1.71508923709602e-05,1.71508923709602e-05,1.71508923709602e-05,1,0
"diagnostic","Q773","Q773","(112) 12 years",2,11,12,0.000267272054940309,6.7380053142354e-05,0.000467164056738265,2,0
"diagnostic","Q773","Q773","(115) 15 years",3,16,18,0.000165219752114315,0.000142791063744466,0.000184261642910236,3,0
"diagnostic","Q773","Q773","(116) 16 years",2,10,10,0.000440423360710474,0.000409823471462388,0.00047102324995856,2,0
"diagnostic","Q773","Q773","(117) 17 years",1,13,13,0.000271093617129912,0.000271093617129912,0.000271093617129912,1,0
"diagnostic","Q773","Q773","(118) 18 years",2,10,11,0.000349025658600981,-4.61283330828924e-05,0.000744179650284854,1,1
"diagnostic","Q773","Q773","(120) 20 years",3,18,24,0.000103276798777763,5.88149250705526e-06,0.000232142788153846,3,0
"diagnostic","Q773","Q773","(121) 21 years",1,11,11,0.000491982284824583,0.000491982284824583,0.000491982284824583,1,0
"diagnostic","Q773","Q773","(122) 22 years",1,13,13,0.000110919247052494,0.000110919247052494,0.000110919247052494,1,0
"diagnostic","Q773","Q773","(125) 25 years",3,11,13,-0.00115183980868904,-0.00219318803991684,-0.000369967793683463,0,3
"diagnostic","Q773","Q773","(126) 26 years",1,10,10,-0.000731137761334759,-0.000731137761334759,-0.000731137761334759,0,1
"diagnostic","Q773","Q773","(129) 29 years",1,12,12,0.000112880286037761,0.000112880286037761,0.000112880286037761,1,0
"diagnostic","Q773","Q773","(130) 30 years",3,19,23,0.000120028615672518,7.22767904519732e-05,0.000192750308156499,3,0
"diagnostic","Q773","Q773","(135) 35 years",1,13,13,-2.02563052456277e-05,-2.02563052456277e-05,-2.02563052456277e-05,0,1
"diagnostic","Q773","Q773","(140) 40 years",3,10,13,5.08210037153817e-05,1.14491433250229e-05,8.44277267876168e-05,3,0
"diagnostic","Q774","Q774","(001) Less than a year",3,23,25,0.000149621092903035,0.000103922772245857,0.00019923324027658,3,0
"diagnostic","Q774","Q774","(002) 1 year",3,18,24,-0.000280969244115498,-0.00121160411124915,0.000370442296959022,1,2
"diagnostic","Q774","Q774","(102) 2 years",3,31,38,0.000121725439398231,3.07296675744019e-05,0.000187914863062658,3,0
"diagnostic","Q774","Q774","(103) 3 years",3,32,41,1.10867407037527e-05,-6.75844055471355e-05,9.03474442731638e-05,2,1
"diagnostic","Q774","Q774","(104) 4 years",3,27,35,0.000107290204079255,1.48438097078956e-05,0.000157856294647294,3,0
"diagnostic","Q774","Q774","(105) 5 years",3,35,39,-4.64906550846703e-06,-1.12837523136589e-05,6.35065685333882e-06,1,2
"diagnostic","Q774","Q774","(106) 6 years",3,20,23,0.00012230581825594,6.24075629831863e-05,0.00022632406199232,3,0
"diagnostic","Q774","Q774","(107) 7 years",3,13,17,0.000515642989094975,6.98142580221811e-05,0.000929016207626302,3,0
"diagnostic","Q774","Q774","(108) 8 years",3,11,17,-0.00619286550273284,-0.0129142012571324,-0.0014308220099376,0,3
"diagnostic","Q774","Q774","(109) 9 years",2,12,14,-3.67341970752749e-05,-0.000216092536725135,0.000142624142574585,1,1
"diagnostic","Q774","Q774","(110) 10 years",3,15,28,0.00027073122179241,7.8734848871845e-05,0.000376518028756081,3,0
"diagnostic","Q774","Q774","(111) 11 years",2,12,13,8.8515357084732e-05,-3.60900090043096e-05,0.000213120723173774,1,1
"diagnostic","Q774","Q774","(112) 12 years",2,11,17,4.12429821588262e-06,-8.2288326426521e-06,1.64774290744173e-05,1,1
"diagnostic","Q774","Q774","(115) 15 years",3,19,22,7.50179796518497e-05,-3.42277917473946e-05,0.000143615312845599,2,1
"diagnostic","Q774","Q774","(116) 16 years",3,12,13,0.000108555944802459,-3.74747022777266e-06,0.000206802343680212,2,1
"diagnostic","Q774","Q774","(119) 19 years",1,10,10,8.30832562555819e-05,8.30832562555819e-05,8.30832562555819e-05,1,0
"diagnostic","Q774","Q774","(120) 20 years",3,16,20,4.70255768918763e-05,2.36830587713839e-05,7.43603436431627e-05,3,0
"diagnostic","Q774","Q774","(121) 21 years",2,10,13,0.000135230333028476,7.53455999062591e-05,0.000195115066150692,2,0
"diagnostic","Q774","Q774","(122) 22 years",1,12,12,0.000256192835329112,0.000256192835329112,0.000256192835329112,1,0
"diagnostic","Q774","Q774","(125) 25 years",2,12,16,-2.82550813042569e-05,-4.88335505330816e-05,-7.67661207543228e-06,0,2
"diagnostic","Q774","Q774","(130) 30 years",3,10,14,6.94924232551213e-05,2.16747591770632e-05,0.000131335410637616,3,0
"diagnostic","Q774","Q774","Not observed / routed",3,16,21,0.000148144799374402,8.49577810527072e-05,0.000198482827465468,3,0
"diagnostic","Q775","Q775","(1) Yes, in my same state, but different city",3,202,230,-1.48151195045304e-05,-5.58298870515276e-05,3.07240768803528e-05,1,2
"diagnostic","Q775","Q775","(2) Yes, in a different state",3,141,167,3.54785257610892e-05,-1.83043934982081e-05,0.000118736158933452,2,1
"diagnostic","Q775","Q775","(3) Yes, in a different country",3,20,37,3.74723291640869e-05,-7.40975116699461e-05,0.000151233402288174,2,1
"diagnostic","Q775","Q775","(4) No, have always lived here my entire life",3,115,124,-5.39995103857287e-05,-7.61283544978369e-05,-2.47437507044246e-05,0,3
"diagnostic","Q777","Q777","(05) California",3,24,33,8.62528002278074e-05,-4.38526631168073e-05,0.000191069247453035,2,1
"diagnostic","Q777","Q777","(10) Florida",2,10,11,0.000844418691851005,0.00053946751120575,0.00114936987249626,2,0
"diagnostic","Q777","Q777","(33) New York",3,29,31,0.000132593406104843,4.82992799562079e-05,0.000242068817377242,3,0
"diagnostic","Q777","Q777","(44) Texas",2,11,15,-0.000232963007478708,-0.000545216362296653,7.92903473392379e-05,1,1
"diagnostic","Q777","Q777","Not observed / routed",3,354,380,3.24863813661826e-05,-7.11325282346637e-06,6.10530190224321e-05,2,1
"diagnostic","Q779","Q779","(01) Another country",3,43,44,0.000142797473022098,2.97940841015139e-05,0.000285183213691372,3,0
"diagnostic","Q779","Q779","(04) Arizona",3,10,12,0.000257924553031911,5.17119999598045e-05,0.000666131711135179,3,0
"diagnostic","Q779","Q779","(06) California",3,70,99,1.87559441082949e-05,-3.79794888761099e-05,4.96986007207851e-05,2,1
"diagnostic","Q779","Q779","(11) Florida",3,19,26,3.2194856974091e-05,1.48067413241138e-05,4.85847510674704e-05,3,0
"diagnostic","Q779","Q779","(15) Illinois",1,12,12,-1.8614417649182e-05,-1.8614417649182e-05,-1.8614417649182e-05,0,1
"diagnostic","Q779","Q779","(24) Michigan",1,12,12,-0.000431323433980834,-0.000431323433980834,-0.000431323433980834,0,1
"diagnostic","Q779","Q779","(32) New Jersey",1,13,13,9.75111316904862e-05,9.75111316904862e-05,9.75111316904862e-05,1,0
"diagnostic","Q779","Q779","(34) New York",3,47,52,8.98437452100999e-05,2.52972046768854e-05,0.000155196637741068,3,0
"diagnostic","Q779","Q779","(45) Texas",3,52,58,5.05042444046601e-05,-2.58251290614841e-05,0.000119073140800691,2,1
"diagnostic","Q779","Q779","Not observed / routed",3,139,152,4.16573102336268e-05,-7.42912035969326e-06,0.000108234564638432,2,1
"diagnostic","Q77R1","Q77R1","(1) Yes, I am certain I did that last year",3,359,362,-1.11243334505619e-05,-4.58497991989363e-05,1.24767988472507e-05,1,1
"diagnostic","Q77R1","Q77R1","(2) I think I did that, I can",3,47,58,-1.00433134712041e-05,-3.32372145288689e-05,3.10727411525665e-06,1,1
"diagnostic","Q77R1","Q77R1","(3) No, I did not do this, and I am unlikely to do this",3,66,75,1.40564585235034e-05,-2.1586216635627e-05,6.37555922061372e-05,1,1
"diagnostic","Q77R1","Q77R1","(4) No, I did not do this, but I might do this in the future",3,16,26,1.24144795918464e-06,-6.62539853287788e-05,6.99783292063327e-05,1,1
"diagnostic","Q77R1","Q77R1","(5) No, I did not do this, but I will definitely do this in the future",3,11,18,1.19727678389586e-05,-7.95453166828001e-06,4.38728351851557e-05,1,1
"diagnostic","Q77R2","Q77R2","(1) Yes, I am certain I did that last year",3,91,102,-1.46477527087982e-05,-4.39432581263946e-05,0,0,1
"diagnostic","Q77R2","Q77R2","(2) I think I did that, I can",3,29,40,0.000129225205623401,0,0.000387675616870202,1,0
"diagnostic","Q77R2","Q77R2","(3) No, I did not do this, and I am unlikely to do this",3,252,264,-1.27291668246554e-05,-3.81875004739661e-05,0,0,1
"diagnostic","Q77R2","Q77R2","(4) No, I did not do this, but I might do this in the future",3,80,92,-2.50200809747026e-05,-7.50602429241078e-05,0,0,1
"diagnostic","Q77R2","Q77R2","(5) No, I did not do this, but I will definitely do this in the future",3,38,51,-9.75652655169862e-06,-2.92695796550959e-05,0,0,1
"diagnostic","Q77R3","Q77R3","(1) Yes, I am certain I did that last year",3,85,92,4.13253345653647e-05,3.16290046337309e-05,4.71743268049782e-05,3,0
"diagnostic","Q77R3","Q77R3","(2) I think I did that, I can",3,25,35,7.02649925680581e-05,1.88909266070873e-05,0.000153040898605751,3,0
"diagnostic","Q77R3","Q77R3","(3) No, I did not do this, and I am unlikely to do this",3,243,278,9.31958578118685e-06,-4.32792241170096e-05,3.84173824392212e-05,2,1
"diagnostic","Q77R3","Q77R3","(4) No, I did not do this, but I might do this in the future",3,87,112,-0.000182367046115249,-0.000247124807575621,-7.27849716505334e-05,0,3
"diagnostic","Q77R3","Q77R3","(5) No, I did not do this, but I will definitely do this in the future",3,42,51,3.12295325337305e-05,2.81342442716824e-05,3.46721216752117e-05,3,0
"diagnostic","Q77R4","Q77R4","(1) Yes, I am certain I did that last year",3,96,110,4.43119294159973e-05,4.20367340800805e-07,9.99122769153163e-05,3,0
"diagnostic","Q77R4","Q77R4","(2) I think I did that, I can",3,39,54,3.78326368407812e-05,-2.34673641435051e-05,0.000111313768332978,2,1
"diagnostic","Q77R4","Q77R4","(3) No, I did not do this, and I am unlikely to do this",3,194,203,2.74634158483823e-06,-3.48043148813295e-05,6.09288342719287e-05,1,2
"diagnostic","Q77R4","Q77R4","(4) No, I did not do this, but I might do this in the future",3,119,140,-2.20335577536696e-05,-5.92063190303844e-05,1.20533516181236e-05,1,2
"diagnostic","Q77R4","Q77R4","(5) No, I did not do this, but I will definitely do this in the future",3,39,44,3.99747974484656e-05,-1.42265124434591e-05,8.28271790315179e-05,2,1
"diagnostic","Q77R5","Q77R5","(1) Yes, I am certain I did that last year",3,87,98,5.97178431429508e-06,-2.01585396405257e-05,3.8073892583411e-05,1,1
"diagnostic","Q77R5","Q77R5","(2) I think I did that, I can",3,45,62,-1.69298389179926e-05,-3.39241977810713e-05,0,0,2
"diagnostic","Q77R5","Q77R5","(3) No, I did not do this, and I am unlikely to do this",3,197,209,-3.13905599678734e-05,-7.10115292374723e-05,0,0,2
"diagnostic","Q77R5","Q77R5","(4) No, I did not do this, but I might do this in the future",3,119,125,2.22421743853467e-05,-2.18863041625682e-05,8.86128273186083e-05,1,1
"diagnostic","Q77R5","Q77R5","(5) No, I did not do this, but I will definitely do this in the future",3,44,56,4.41898537112134e-05,-9.17252944337404e-06,0.000141742090577014,1,1
"diagnostic","Q77R6","Q77R6","(1) Yes, I am certain I did that last year",3,85,92,2.5583089107335e-05,-3.93283122957112e-05,9.13163035775286e-05,2,1
"diagnostic","Q77R6","Q77R6","(2) I think I did that, I can",3,52,56,6.89583778088866e-05,-5.43632538730291e-05,0.000254200431908392,2,1
"diagnostic","Q77R6","Q77R6","(3) No, I did not do this, and I am unlikely to do this",3,153,169,2.63535208125415e-05,-4.56131296084645e-05,0.000161954032552727,1,2
"diagnostic","Q77R6","Q77R6","(4) No, I did not do this, but I might do this in the future",3,163,177,-5.04256646541521e-05,-6.53751129154182e-05,-2.11104491582092e-05,0,3
"diagnostic","Q77R6","Q77R6","(5) No, I did not do this, but I will definitely do this in the future",3,37,49,-3.13960588834244e-06,-0.000290318461273755,0.000246281598937637,2,1
"diagnostic","Q77R7","Q77R7","(1) Yes, I am certain I did that last year",3,112,118,3.1902940569813e-05,4.31642955576243e-06,7.0956769186432e-05,3,0
"diagnostic","Q77R7","Q77R7","(2) I think I did that, I can",3,40,54,6.17925430713165e-06,2.26460798725984e-06,1.32397711324675e-05,3,0
"diagnostic","Q77R7","Q77R7","(3) No, I did not do this, and I am unlikely to do this",3,267,273,1.36839127417433e-05,3.42037682914731e-06,2.46093477877478e-05,3,0
