"variable","item","verified_short_label","construct","wording_source","codebook_pdf_page","source_type","appended_context","routing_notes","missingness_type","sample_system_missing","base_decision","model1","model2","model3","exclusion_note","label_review","raw_observed","measurement","questionnaire_item","questionnaire_pdf_page"
"Q116R5","Q116","Q116R5","Q116r5: Immigrants, Asylum Seekers, Refugees - Who do you expect to benefit from","ICPSR variable label; may be truncated",126,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1867,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",1566,"Original labelled categories or source type",NA,NA
"Q116R6","Q116","Q116R6","Q116r6: Formerly Incarcerated Individuals - Who do you expect to benefit from yo","ICPSR variable label; may be truncated",127,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2004,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",763,"Original labelled categories or source type",NA,NA
"Q116R7","Q116","Q116R7","Q116r7: Military Families/Veterans - Who do you expect to benefit from your larg","ICPSR variable label; may be truncated",127,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1830,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",1594,"Original labelled categories or source type",NA,NA
"Q116R8","Q116","Q116R8","Q116r8: Environment/Animals - Who do you expect to benefit from your largest don","ICPSR variable label; may be truncated",127,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1864,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",1586,"Original labelled categories or source type",NA,NA
"Q116R9","Q116","Q116R9","Q116r9: Police Officers/Fraternal Orders of Police - Who do you expect to benefi","ICPSR variable label; may be truncated",128,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1926,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",892,"Original labelled categories or source type",NA,NA
"Q116R10","Q116","Q116R10","Q116r10: Individuals affected by COVID Pandemic - Who do you expect to benefit f","ICPSR variable label; may be truncated",128,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1855,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",2077,"Original labelled categories or source type",NA,NA
"Q116R11","Q116","Q116R11","Q116r11: Small Businesses - Who do you expect to benefit from your largest donat","ICPSR variable label; may be truncated",128,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1964,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",1071,"Original labelled categories or source type",NA,NA
"Q116R12","Q116","Q116R12","Q116r12: Scientists/Research - Who do you expect to benefit from your largest do","ICPSR variable label; may be truncated",129,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1983,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",807,"Original labelled categories or source type",NA,NA
"Q116R13","Q116","Q116R13","Q116r13: Gun Owners - Who do you expect to benefit from your largest donations,","ICPSR variable label; may be truncated",129,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",2037,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",279,"Original labelled categories or source type",NA,NA
"Q116R14","Q116","Q116R14","Q116r14: Politician/Local Campaign/Super PAC - Who do you expect to benefit from","ICPSR variable label; may be truncated",130,"Survey item or survey routing field",FALSE,"Skipped when all Q111:115 donation amounts zero; Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1992,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",547,"Original labelled categories or source type",NA,NA
"Q117R1","Q117R1","Q117R1","Q117r1: Addressing police brutality - Please indicate if the following should be","ICPSR variable label; may be truncated",130,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R2","Q117R2","Q117R2","Q117r2: Reducing mass incarceration - Please indicate if the following should be","ICPSR variable label; may be truncated",130,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R3","Q117R3","Q117R3","Q117r3: Opposing same-sex marriage - Please indicate if the following should be","ICPSR variable label; may be truncated",131,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R4","Q117R4","Q117R4","Q117r4: Raising the minimum wage - Please indicate if the following should be a","ICPSR variable label; may be truncated",131,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R5","Q117R5","Q117R5","Q117r5: Restricting access to abortions - Please indicate if the following shoul","ICPSR variable label; may be truncated",131,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R6","Q117R6","Q117R6","Q117r6: Addressing Domestic violence/sexual violence - Please indicate if the fo","ICPSR variable label; may be truncated",132,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R7","Q117R7","Q117R7","Q117r7: Reducing the number of liquor stores in the [pipe: S2_Race_Prime] commun","ICPSR variable label; may be truncated",132,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R8","Q117R8","Q117R8","Q117r8: Stopping voter suppression - Please indicate if the following should be","ICPSR variable label; may be truncated",132,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R9","Q117R9","Q117R9","Q117r9: Reducing crime - Please indicate if the following should be a high prior","ICPSR variable label; may be truncated",133,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R10","Q117R10","Q117R10","Q117r10: Increasing funding for public schools - Please indicate if the followin","ICPSR variable label; may be truncated",133,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R11","Q117R11","Priority: immigrant rights","Q117r11: Supporting immigrant rights - Please indicate if the following should b","ICPSR variable label; may be truncated",134,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",127,30
"Q117R12","Q117R12","Q117R12","Q117r12: Ending coronavirus quarantine - Please indicate if the following should","ICPSR variable label; may be truncated",134,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q117R13","Q117R13","Q117R13","Q117r13: A national mandate to wear a mask in public when coronavirus cases are","ICPSR variable label; may be truncated",134,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q130","Q130","Trump responsibility for COVID-19","Q130: Looking back over the past ten months that our nation has been dealing wit","ICPSR variable label; may be truncated",135,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,FALSE,FALSE,"Candidate/election-proximate; Model 1 only","Verified short label; original source construct retained",17545,"Original labelled categories or source type",130,30
"Q131SPLIT","Q131SPLIT","Q131SPLIT","q131split: holds split for q131 battery","ICPSR variable label; may be truncated",135,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Routing/experiment metadata; joined to response where required",FALSE,FALSE,FALSE,"Routing/experiment metadata; joined to response where required","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q131R1","Q131R1","Two-trillion-dollar stimulus policy","Q131r1: Congress should pass a comprehensive stimulus bill with over 2 trillion","ICPSR variable label; may be truncated",135,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",131,31
"Q131R2","Q131R2","Q131R2","Q131r2: As long as the coronavirus is a threat, we need a national mandate to we","ICPSR variable label; may be truncated",136,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1000,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8904,"Original labelled categories or source type",NA,NA
"Q131R3","Q131R3","Ending parent-child border separation","Q131r3: We should end the policy of separating immigrant children from their par","ICPSR variable label; may be truncated",136,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",8641,"Original labelled categories or source type",NA,NA
"Q131R4","Q131R4","Q131R4","Q131r4: We should establish a path to citizenship for undocumented immigrants wh","ICPSR variable label; may be truncated",136,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1000,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8904,"Original labelled categories or source type",NA,NA
"Q131R5","Q131R5","Q131R5","Q131r5: We should reward undocumented immigrants who have risked their lives as","ICPSR variable label; may be truncated",137,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8641,"Original labelled categories or source type",NA,NA
"Q131R6","Q131R6","Q131R6","Q131r6: We need police reform to stop the killing and abuse of African Americans","ICPSR variable label; may be truncated",137,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1000,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8904,"Original labelled categories or source type",NA,NA
"Q131R7","Q131R7","Q131R7","Q131r7: We should get rid of the electoral college and have a basic popular vote","ICPSR variable label; may be truncated",138,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8641,"Original labelled categories or source type",NA,NA
"Q131R8","Q131R8","Q131R8","Q131r8: Congress and the President should support a bold national climate policy","ICPSR variable label; may be truncated",138,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1000,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8904,"Original labelled categories or source type",NA,NA
"Q131R9","Q131R9","Legal abortion policy","Q131r9: Abortion should remain a legal option in the United States. - Please ind","ICPSR variable label; may be truncated",139,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",8641,"Original labelled categories or source type",139,31
"Q131R10","Q131R10","Q131R10","Q131r10: Washington D.C. should be a full state and have 2 U.S. Senators and Rep","ICPSR variable label; may be truncated",139,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1000,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8904,"Original labelled categories or source type",NA,NA
"Q131R11","Q131R11","Q131R11","Q131r11: Puerto Rico should be a full state and have 2 U.S. Senators and Represe","ICPSR variable label; may be truncated",140,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8641,"Original labelled categories or source type",NA,NA
"Q131R12","Q131R12","Q131R12","Q131r12: Colleges and universities should consider grades and test scores only a","ICPSR variable label; may be truncated",140,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1000,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8904,"Original labelled categories or source type",NA,NA
"Q131R13","Q131R13","Q131R13","Q131r13: Colleges and universities should consider factors that impact a student","ICPSR variable label; may be truncated",140,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",1082,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",8641,"Original labelled categories or source type",NA,NA
"Q144","Q144","COVID-19 vaccine intentions","Q144: When it comes to the new vaccine to protect against the coronavirus, which","ICPSR variable label; may be truncated",141,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",NA,NA
"Q145","Q145","Q145","Q145: More hopeful or less hopeful","ICPSR variable label; may be truncated",141,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q146","Q146","Q146","Q146: More angry or less angry","ICPSR variable label; may be truncated",142,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q147","Q147","Q147","Q147: More afraid or less afraid","ICPSR variable label; may be truncated",142,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q148","Q148","Q148","Q148: More hopeful or less hopeful","ICPSR variable label; may be truncated",142,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q149","Q149","Q149","Q149: More angry or less angry","ICPSR variable label; may be truncated",143,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q150","Q150","Q150","Q150: More afraid or less afraid","ICPSR variable label; may be truncated",143,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q151","Q151","Q151","Q151: More hopeful or less hopeful","ICPSR variable label; may be truncated",143,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q152","Q152","Q152","Q152: More angry or less angry","ICPSR variable label; may be truncated",144,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q153","Q153","Q153","Q153: More afraid or less afraid","ICPSR variable label; may be truncated",144,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q154R1","Q154R1","Pride in flag or national anthem","Q154r1: You see an American flag or hear the national anthem? - How much pride w","ICPSR variable label; may be truncated",145,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Verified short label; original source construct retained",17545,"Original labelled categories or source type",154,32
"Q154R2","Q154R2","Q154R2","Q154r2: You participate in a civic or political action, such as voting, contacti","ICPSR variable label; may be truncated",145,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q154R3","Q154R3","Q154R3","Q154r3: You view news or think about protests on issues that are important for [","ICPSR variable label; may be truncated",145,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q154R4","Q154R4","Q154R4","Q154r4: You see a [pipe: S2_Race_Prime] individual accomplishing a major milesto","ICPSR variable label; may be truncated",146,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q154R5","Q154R5","Q154R5","Q154r5: You see a [pipe: S2_Race_Prime] individual holding elected office? - How","ICPSR variable label; may be truncated",146,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q159R1","Q159R1","Q159R1","Q159r1: Public officials work hard to help [pipe: S2_Race_Prime] people? - How o","ICPSR variable label; may be truncated",147,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q159R2","Q159R2","Q159R2","Q159r2: [pipe: S2_Race_Prime] people have a say in how government handles import","ICPSR variable label; may be truncated",147,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q159R3","Q159R3","Q159R3","Q159r3: [pipe: S2_Race_Prime] elected to office can make changes for Black peopl","ICPSR variable label; may be truncated",147,"Survey item or survey routing field",FALSE,"Condition joined: S2_RACE_PRIME","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R1","Q162R1","Q162R1","Q162r1: Voting in elections - For each of the following activities, indicate if","ICPSR variable label; may be truncated",148,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R2","Q162R2","Q162R2","Q162r2: Donating money to campaigns or causes - For each of the following activi","ICPSR variable label; may be truncated",148,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R3","Q162R3","Q162R3","Q162r3: Working with others to solve community problems - For each of the follow","ICPSR variable label; may be truncated",149,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R4","Q162R4","Q162R4","Q162r4: Attending protests for issues you care about - For each of the following","ICPSR variable label; may be truncated",149,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R5","Q162R5","Q162R5","Q162r5: Posting on the internet about issues you care about - For each of the fo","ICPSR variable label; may be truncated",149,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R6","Q162R6","Q162R6","Q162r6: Contacting officials about issues you care about - For each of the follo","ICPSR variable label; may be truncated",150,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R7","Q162R7","Q162R7","Q162r7: Working for a candidate or party or ballot issue in an election campaign","ICPSR variable label; may be truncated",150,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q162R8","Q162R8","Q162R8","Q162r8: Wearing something to cover the nose and mouth, like a mask, when inside","ICPSR variable label; may be truncated",151,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
"Q170","Q170","Q170","Q170: Is there any political leader or any group or organization that you think","ICPSR variable label; may be truncated",151,"Survey item or survey routing field",FALSE,"Original questionnaire route / module retained; system NA not interpreted as a substantive answer","System NA: routing, nonresponse or unavailable; labelled responses preserved",0,"Eligible",TRUE,TRUE,TRUE,"Eligible subject to training-only screening","Code retained; full wording/short label requires review",17545,"Original labelled categories or source type",NA,NA
