"variable","construct","storage","raw_observed"
"Q117R6","Q117r6: Addressing Domestic violence/sexual violence - Please indicate if the fo","factor",17545
"Q117R7","Q117r7: Reducing the number of liquor stores in the [pipe: S2_Race_Prime] commun","factor",17545
"Q117R8","Q117r8: Stopping voter suppression - Please indicate if the following should be","factor",17545
"Q117R9","Q117r9: Reducing crime - Please indicate if the following should be a high prior","factor",17545
"Q117R10","Q117r10: Increasing funding for public schools - Please indicate if the followin","factor",17545
"Q117R11","Q117r11: Supporting immigrant rights - Please indicate if the following should b","factor",17545
"Q117R12","Q117r12: Ending coronavirus quarantine - Please indicate if the following should","factor",17545
"Q117R13","Q117r13: A national mandate to wear a mask in public when coronavirus cases are","factor",17545
"Q130","Q130: Looking back over the past ten months that our nation has been dealing wit","factor",17545
"Q131SPLIT","q131split: holds split for q131 battery","factor",17545
"Q131R1","Q131r1: Congress should pass a comprehensive stimulus bill with over 2 trillion","factor",17545
"Q131R2","Q131r2: As long as the coronavirus is a threat, we need a national mandate to we","factor",8904
"Q131R3","Q131r3: We should end the policy of separating immigrant children from their par","factor",8641
"Q131R4","Q131r4: We should establish a path to citizenship for undocumented immigrants wh","factor",8904
"Q131R5","Q131r5: We should reward undocumented immigrants who have risked their lives as","factor",8641
"Q131R6","Q131r6: We need police reform to stop the killing and abuse of African Americans","factor",8904
"Q131R7","Q131r7: We should get rid of the electoral college and have a basic popular vote","factor",8641
"Q131R8","Q131r8: Congress and the President should support a bold national climate policy","factor",8904
"Q131R9","Q131r9: Abortion should remain a legal option in the United States. - Please ind","factor",8641
"Q131R10","Q131r10: Washington D.C. should be a full state and have 2 U.S. Senators and Rep","factor",8904
"Q131R11","Q131r11: Puerto Rico should be a full state and have 2 U.S. Senators and Represe","factor",8641
"Q131R12","Q131r12: Colleges and universities should consider grades and test scores only a","factor",8904
"Q131R13","Q131r13: Colleges and universities should consider factors that impact a student","factor",8641
"Q144","Q144: When it comes to the new vaccine to protect against the coronavirus, which","factor",17545
"Q145","Q145: More hopeful or less hopeful","factor",17545
"Q146","Q146: More angry or less angry","factor",17545
"Q147","Q147: More afraid or less afraid","factor",17545
"Q148","Q148: More hopeful or less hopeful","factor",17545
"Q149","Q149: More angry or less angry","factor",17545
"Q150","Q150: More afraid or less afraid","factor",17545
"Q151","Q151: More hopeful or less hopeful","factor",17545
"Q152","Q152: More angry or less angry","factor",17545
"Q153","Q153: More afraid or less afraid","factor",17545
"Q154R1","Q154r1: You see an American flag or hear the national anthem? - How much pride w","factor",17545
"Q154R2","Q154r2: You participate in a civic or political action, such as voting, contacti","factor",17545
"Q154R3","Q154r3: You view news or think about protests on issues that are important for [","factor",17545
"Q154R4","Q154r4: You see a [pipe: S2_Race_Prime] individual accomplishing a major milesto","factor",17545
"Q154R5","Q154r5: You see a [pipe: S2_Race_Prime] individual holding elected office? - How","factor",17545
"Q159R1","Q159r1: Public officials work hard to help [pipe: S2_Race_Prime] people? - How o","factor",17545
"Q159R2","Q159r2: [pipe: S2_Race_Prime] people have a say in how government handles import","factor",17545
"Q159R3","Q159r3: [pipe: S2_Race_Prime] elected to office can make changes for Black peopl","factor",17545
"Q162R1","Q162r1: Voting in elections - For each of the following activities, indicate if","factor",17545
"Q162R2","Q162r2: Donating money to campaigns or causes - For each of the following activi","factor",17545
"Q162R3","Q162r3: Working with others to solve community problems - For each of the follow","factor",17545
"Q162R4","Q162r4: Attending protests for issues you care about - For each of the following","factor",17545
"Q162R5","Q162r5: Posting on the internet about issues you care about - For each of the fo","factor",17545
"Q162R6","Q162r6: Contacting officials about issues you care about - For each of the follo","factor",17545
"Q162R7","Q162r7: Working for a candidate or party or ballot issue in an election campaign","factor",17545
"Q162R8","Q162r8: Wearing something to cover the nose and mouth, like a mask, when inside","factor",17545
"Q170","Q170: Is there any political leader or any group or organization that you think","factor",17545
"Q171R1","Q171r1: Elected officials - Who looks out for your concerns?","factor",6478
"Q171R2","Q171r2: Religious leaders - Who looks out for your concerns?","factor",6478
"Q171R3","Q171r3: Community leaders - Who looks out for your concerns?","factor",6478
"Q171R4","Q171r4: Union or work association leaders - Who looks out for your concerns?","factor",6478
"Q171R5","Q171r5: A media figure - Who looks out for your concerns?","factor",6478
"Q171R6","Q171r6: Celebrity or artist - Who looks out for your concerns?","factor",6478
"Q171R7","Q171r7: Someone you know - Who looks out for your concerns?","factor",6478
"Q171R8","Q171r8: Other - Who looks out for your concerns?","factor",6478
"Q171R9","Q171r9: Can","factor",6478
"Q171R8OE","Q171r8oe: Who looks out for your concerns? - Other","factor",17545
"Q172R1","Q172r1: Personally vote for or against certain candidates in an election for pub","factor",6478
"Q172R2","Q172r2: Personally attend a protest march or demonstration? - Did this leader or","factor",6478
"Q172R3","Q172r3: Personally take some other action on a political issue or in an election","factor",6478
"Q175R1","Q175r1: Personally vote for or against certain candidates in an election for pub","factor",11067
"Q175R2","Q175r2: Personally attend a protest march or demonstration? - Did anyone ever su","factor",11067
"Q175R3","Q175r3: Personally take some other action on a political issue or in an election","factor",11067
"Q178R1","Q178r1: Scientific research these days doesn't pay enough attention to the moral","factor",17545
"Q178R2","Q178r2: Scientific research has created as many problems for society as it has s","factor",17545
"Q178R3","Q178r3: Scientific research is essential for improving the quality of human live","factor",17545
"Q178R4","Q178r4: New technology used in medicine allows people to live longer and better.","factor",17545
"Q182","Q182: Immigration and Customs Enforcement (I.C.E.) regularly conducts deportatio","factor",17545
"Q183","Q183: Is your overall opinion of Immigration and Customs Enforcement, known as I","factor",17545
"Q184R1","Q184r1: Increasing security at the U.S.-Mexico border should be a national prior","factor",17545
"Q184R2","Q184r2: This country should make it easier for immigrants to obtain visas and ci","factor",17545
"Q184R3","Q184r3: Law enforcement and the criminal justice system need to be completely re","factor",17545
"Q187R1","Q187r1: Children born in the United States to non-citizen parents should not hav","factor",17545
"Q187R2","Q187r2: We need to empower law enforcement to patrol and secure Muslim neighborh","factor",17545
"Q187R3","Q187r3: Enact sanctions and heighten diplomatic tensions with China in response","factor",17545
"Q187R4","Q187r4: End family reunification visa policies in the U.S. - Please indicate how","factor",17545
"Q187R5","Q187r5: Ban people from predominantly Muslim countries from entering the U.S. -","factor",17545
"Q192","Q192: Which statement comes closer to your own views","factor",17545
"Q193SPLIT","q193split: holds split for q193/194","factor",17545
"Q193","Q193: How strongly do you agree with the following statement? The LGBTQ communit","factor",8776
"Q194","Q194: How strongly do you agree with the following statement? The LGBTQ communit","factor",8769
"LONGSHORTSPLIT","longshortsplit: holds split for long/short","factor",17545
"Q195A1R1","Q195A1r1: Donald Trump, Jr., Republican - One way of voting uses a ranked vote,","factor",3137
"Q195A1R2","Q195A1r2: Nikki Haley, former Republican governor of South Carolina and ambassad","factor",8311
"Q195A1R3","Q195A1r3: Andrew Cuomo, Democratic governor of New York - One way of voting uses","factor",7831
"Q195A1R4","Q195A1r4: Kamala Harris, former Democratic California Senator and Vice-President","factor",7238
"Q195A2R1","Q195A2r1: Donald Trump, Jr., Republican - One way of voting uses a ranked vote,","factor",2524
"Q195A2R2","Q195A2r2: Nikki Haley, former Republican governor of South Carolina and ambassad","factor",3885
"Q195A2R3","Q195A2r3: Marco Rubio, Republican Senator from Florida - One way of voting uses","factor",2937
"Q195A2R4","Q195A2r4: Mike Pence, Republican Vice President - One way of voting uses a ranke","factor",3068
"Q195A2R5","Q195A2r5: Ron DeSantis, Republican governor of Florida - One way of voting uses","factor",2633
"Q195A2R6","Q195A2r6: Kamala Harris, former Democratic California Senator and Vice-President","factor",6105
"Q195A2R7","Q195A2r7: Pete Buttigieg, former Democratic mayor of South Bend, Indiana - One w","factor",4936
"Q195A2R8","Q195A2r8: Alexandria Ocasio-Cortez, Democratic representative from New York - On","factor",4867
"Q195A2R9","Q195A2r9: Andrew Cuomo, Democratic governor of New York - One way of voting uses","factor",5033
"Q195A2R10","Q195A2r10: Stacey Abrams, former Democratic leader in the Georgia House of Repre","factor",5348
"Q195B1R1","Q195B1r1: Donald Trump, Jr., Republican - One way of voting uses a ranked vote,","factor",3095
"Q195B1R2","Q195B1r2: Nikki Haley, former Republican governor of South Carolina and ambassad","factor",8140
"Q195B1R3","Q195B1r3: Andrew Cuomo, Democratic governor of New York - One way of voting uses","factor",7659
"Q195B1R4","Q195B1r4: Kamala Harris, former Democratic California Senator and Vice-President","factor",7224
"Q195B2R1","Q195B2r1: Donald Trump, Jr., Republican - One way of voting uses a ranked vote,","factor",2578
"Q195B2R2","Q195B2r2: Nikki Haley, former Republican governor of South Carolina and ambassad","factor",4112
"Q195B2R3","Q195B2r3: Marco Rubio, Republican Senator from Florida - One way of voting uses","factor",3009
"Q195B2R4","Q195B2r4: Mike Pence, Republican Vice President - One way of voting uses a ranke","factor",3260
"Q195B2R5","Q195B2r5: Ron DeSantis, Republican governor of Florida - One way of voting uses","factor",2806
"Q195B2R6","Q195B2r6: Kamala Harris, former Democratic California Senator and Vice-President","factor",6198
"Q195B2R7","Q195B2r7: Pete Buttigieg, former Democratic mayor of South Bend, Indiana - One w","factor",5327
"Q195B2R8","Q195B2r8: Alexandria Ocasio-Cortez, Democratic representative from New York - On","factor",5193
"Q195B2R9","Q195B2r9: Andrew Cuomo, Democratic governor of New York - One way of voting uses","factor",5444
"Q195B2R10","Q195B2r10: Stacey Abrams, former Democratic leader in the Georgia House of Repre","factor",5603
"Q196","Q196: On a scale of 0 to 10, how satisfied are you with this way of voting?","factor",17545
"Q197A1","Q197A1: One way of voting involves a single vote, in which you vote for one cand","factor",8839
"Q197A2","Q197A2: One way of voting involves a single vote, in which you vote for one cand","factor",8839
"Q197B1","Q197B1: One way of voting involves a single vote, in which you vote for one cand","factor",8706
"Q197B2","Q197B2: One way of voting involves a single vote, in which you vote for one cand","factor",8706
"Q198","Q198: On a scale of 0 to 10, how satisfied are you with this way of voting?","factor",17545
"Q199SPLIT","q199split: holds split q199-q201","factor",17545
"Q199","Q199: Now that you have used both of them, which way of voting do you prefer?","factor",5909
"Q200","Q200: Studies show that the ranked vote helps elect more women and people of col","factor",5813
"Q201","Q201: Studies show that the ranked vote is confusing for some people. Now that y","factor",5823
"Q202R1","Q202r1: Run for political office - Given your answer to the previous question, w","factor",17545
"Q202R2","Q202r2: Encourage someone you know to run for office - Given your answer to the","factor",17545
"Q202R3","Q202r3: Volunteer for a candidate or political party - Given your answer to the","factor",17545
"Q203","Q203: Would you approve or disapprove of a member of Congress who proposes a new","factor",17545
"Q204","Q204: Would you approve or disapprove of a member of Congress who violates congr","factor",17545
"Q205","Q205: Would you approve or disapprove of a member of Congress who gets arrested","factor",17545
"Q206","Q206: To what extent do you feel that your member of Congress understands the po","numeric",17545
"Q207","Q207: To what extent do you feel that your member of Congress serves the politic","numeric",17545
"Q208R1","Q208r1: Racial and ethnic minorities can get ahead in the United States if they","factor",17545
"Q208R2","Q208r2: Most people who want to get ahead can make it if they are willing to wor","factor",17545
"Q208R3","Q208r3: It is possible to start out poor in this country, work hard, and become","factor",17545
"Q208R4","Q208r4: Government should provide income support to those who try to provide for","factor",17545
"Q208R5","Q208r5: It is the responsibility of the government to reduce the differences in","factor",17545
"Q213R1","Q213r1: Irish, Italians, Jewish and many other minorities overcame prejudice and","factor",17545
"Q213R2","Q213r2: Generations of slavery and discrimination have created conditions that m","factor",17545
"Q213R3","Q213r3: Over the past few years, Blacks have gotten less than they deserve. - Do","factor",17545
"Q213R4","Q213r4: It's really a matter of some people not trying hard enough; if Blacks wo","factor",17545
"Q217R1","Q217r1: White people in the U.S. have certain advantages because of their race.","factor",17545
"Q217R2","Q217r2: Racial problems in the U.S. are rare, isolated situations. - Please indi","factor",17545
"Q217R3","Q217r3: I am angry that racism exists. - Please indicate if you agree or disagre","factor",17545
"Q217R4","Q217r4: I am sometimes fearful of people of other races. - Please indicate if yo","factor",17545
"Q221R1","Q221r1: Generally speaking, [pipe: S2_Race_Prime]s are resilient to the hard tim","factor",17545
"Q221R2","Q221r2: Unlike other minorities, [pipe: S2_Race_Prime]s give up too easily when","factor",17545
"Q221R3","Q221r3: [pipe: S2_Race_Prime] people can always create something for themselves","factor",17545
"Q221R4","Q221r4: Even when [pipe: S2_Race_Prime]s get knocked down, they get up and try a","factor",17545
"Q225R1","Q225r1: Atheists - Here is a list of groups in society.","factor",17545
"Q225R2","Q225r2: Muslims - Here is a list of groups in society.","factor",17545
"Q225R3","Q225r3: Jews - Here is a list of groups in society.","factor",17545
"Q225R4","Q225r4: Conservative Christians - Here is a list of groups in society.","factor",17545
"Q225R5","Q225r5: Black people - Here is a list of groups in society.","factor",17545
"Q225R6","Q225r6: White people - Here is a list of groups in society.","factor",17545
"Q225R7","Q225r7: Hispanic people - Here is a list of groups in society.","factor",17545
"Q225R8","Q225r8: Asian people - Here is a list of groups in society.","factor",17545
"Q225R9","Q225r9: Native Americans - Here is a list of groups in society.","factor",17545
"Q225R10","Q225r10: Democrats - Here is a list of groups in society.","factor",17545
"Q225R11","Q225r11: Republicans - Here is a list of groups in society.","factor",17545
"Q225R12","Q225r12: LGBTQ people - Here is a list of groups in society.","factor",17545
"Q225R13","Q225r13: Immigrants - Here is a list of groups in society.","factor",17545
"Q225R14","Q225r14: White nationalists - Here is a list of groups in society.","factor",17545
"Q239R1","Q239r1: Most Muslims integrate successfully into American culture. - With respec","factor",17545
"Q239R2","Q239r2: Most Muslim Americans reject jihad and violence. - With respect to Musli","factor",17545
"Q239R3","Q239r3: Most Muslim Americans are not terrorists. - With respect to Muslim Ameri","factor",17545
"Q239R4","Q239r4: Muslim Americans do a good job of speaking out against Islamic terrorism","factor",17545
"Q243R1","Q243r1: It is harder for America","factor",17545
"Q243R2","Q243r2: America","factor",17545
"Q243R3","Q243r3: America","factor",17545
"Q243R4","Q243r4: If America's youth stopped complaining about their problems, they would","factor",17545
"Q247","Q247: What share of your friends, co-workers, and family members are [pipe: S2_R","factor",17545
"Q248","Q248: How much effort should the government put into alleviating poverty among [","factor",17545
"Q249","Q249: How much effort should the government put into eliminating discrimination","factor",17545
"Q250R1","Q250r1: Confederate History Month - The [pipe: S4] state government should offic","factor",5447
"Q250R2","Q250r2: Hispanic Heritage Month - The [pipe: S4] state government should officia","factor",4975
"Q250R3","Q250r3: Black History Month - The [pipe: S4] state government should officially","factor",5479
"Q250R4","Q250r4: Asian American and Pacific Islander Heritage Month - The [pipe: S4] stat","factor",3955
"Q250R5","Q250r5: Native American Heritage Month - The [pipe: S4] state government should","factor",2829
"Q250R6","Q250r6: Native Hawaiian Heritage Month - The [pipe: S4] state government should","factor",117
"Q250R7","Q250r7: Islamic Heritage Month - The [pipe: S4] state government should official","factor",741
"Q250R8","Q250r8: Caribbean-American Heritage Month - The [pipe: S4] state government shou","factor",1323
"Q251","Q251: Black people in America are a diverse group. They include Black Americans","factor",5479
"Q252","Q252: Still thinking about the experiences of different Black populations in the","factor",5479
"Q253","Q253: On average, Black American descendants of enslaved people have lower incom","factor",5479
"Q254","Q254: Some immigrants who arrive to the US prefer to give their children common","factor",4248
"Q255","Q255: If an average White American saw a picture of you in which you were not we","factor",5479
"Q256","Q256: How would you define racism in this country?","factor",17545
"Q257SPLIT","q257split: holds split for q257","factor",17545
"Q257AR1","Q257Ar1: They are more likely to carry illnesses than Americans. - For the follo","factor",5767
"Q257AR2","Q257Ar2: They are more likely to live in conditions that help spread disease tha","factor",5767
"Q257AR3","Q257Ar3: To protect your health, it is important to avoid Mexican immigrants. -","factor",5767
"Q257AR4","Q257Ar4: If I were on public transportation, I would not sit next to someone who","factor",5767
"Q257BR1","Q257Br1: They are more likely to carry illnesses than Americans. - For the follo","factor",5900
"Q257BR2","Q257Br2: They are more likely to live in conditions that help spread disease tha","factor",5900
"Q257BR3","Q257Br3: To protect your health, it is important to avoid Chinese immigrants. -","factor",5900
"Q257BR4","Q257Br4: If I were on public transportation, I would not sit next to someone who","factor",5900
"Q257CR1","Q257Cr1: They are more likely to carry illnesses than Americans. - For the follo","factor",5878
"Q257CR2","Q257Cr2: They are more likely to live in conditions that help spread disease tha","factor",5878
"Q257CR3","Q257Cr3: To protect your health, it is important to avoid immigrants. - For the","factor",5878
"Q257CR4","Q257Cr4: If I were on public transportation, I would not sit next to someone who","factor",5878
"Q258SPLIT","q258split: holds split for q258","factor",5479
"Q258","Q258: As you may know, the number of [pipe: q258split] representatives in Congre","factor",5479
"Q259","Q259: What do you consider to be the most important moral issues facing the nati","factor",17545
"Q260","Q260: When you speak or think of Christ, do you imagine Christ as being...","factor",5479
"Q261","Q261: As you know, human beings display a wide variety of physical characteristi","factor",17545
"Q262","Q262: Does your tribe have a blood quantum requirement for tribal citizenship?","factor",2829
"Q262R7OE","Q262r7oe: Does your tribe have a blood quantum requirement for tribal citizenshi","factor",17545
"Q263","Q263: What would you prefer your Tribe use to determine tribal citizenship?","factor",2829
"Q263R6OE","Q263r6oe: What would you prefer your Tribe use to determine tribal citizenship?","factor",17545
"Q264","Q264: How often do you see Native Americans outside of your own family?","factor",2829
"Q265","Q265: How often do you attend cultural events, such as powwows, community meals,","factor",2829
"Q266","Q266: How often do you vote in tribal elections?","factor",2829
"Q267","Q267: Compared to most other Black people, how would you describe your skin tone","factor",5479
"Q268","Q268: Compared to most other [pipe: S2_Race_Prime] people, how would you describ","factor",17522
"Q269","Q269: How important is your skin tone to your identity?","factor",5479
"Q270","Q270: If someone said something bad about [pipe: q270verb] skinned people, how l","factor",5479
"Q271","Q271: How important is being [pipe: S2_Race_Prime] to your identity?","factor",17545
"TABLE1_HID","table1_hid: New Single Select Question","factor",17545
"TABLE2_HID","table2_hid: New Single Select Question","factor",17545
"AGE1_HID","age1_hid: New Single Select Question","factor",17545
"AGE2_HID","age2_hid: New Single Select Question","factor",17545
"PROF1_HID","prof1_hid: New Single Select Question","factor",17545
"PROF2_HID","prof2_hid: New Single Select Question","factor",17545
"POLEXP1_HID","polexp1_hid: New Single Select Question","factor",17545
"POLEXP2_HID","polexp2_hid: New Single Select Question","factor",17545
"RAND_POS1","rand_pos1: New Single Select Question","factor",17545
"RAND_POS2","rand_pos2: New Single Select Question","factor",17545
"RAND_SCORE1","rand_score1: New Single Select Question","factor",17545
"RAND_SCORE2","rand_score2: New Single Select Question","factor",17545
"Q272","Q272: Organizations often release report cards on politicians","factor",17545
"Q273R1","Q273r1: I am satisfied with the quality of the public schools in my district. -","factor",9394
"Q273R2","Q273r2: I am willing to attend a school board meeting, if I have a concern about","factor",9394
"Q273R3","Q273r3: Attending school board meetings is a useful way to receive information o","factor",9394
"Q273R4","Q273r4: When someone like me speaks up at a school board meeting, it can influen","factor",9394
"Q273R5","Q273r5: I trust my school board to have open conversations with people of differ","factor",9394
"S10HOLD","S10hold: Hispanics and Latinos have their roots in many different countries in L","factor",4975
"Q278","Q278: Do you think that what happens to people in [pipe: S10hold] will have some","factor",4975
"Q279","Q279: Would you consider relocating to [pipe: S10hold] to live permanently?","factor",4975
"Q280","Q280: Do you think the social and political challenges faced by people in [pipe:","factor",4975
"Q281R1","Q281r1: When seeking medical care for you or your family - In the past four year","factor",17545
"Q281R2","Q281r2: In dealings with police - In the past four years, have you experienced d","factor",17545
"Q281R3","Q281r3: In dealings with immigration officers - In the past four years, have you","factor",17545
"Q281R4","Q281r4: At your place of work - In the past four years, have you experienced dis","factor",17545
"Q281R5","Q281r5: In a restaurant, theater, or other place of entertainment - In the past","factor",17545
"Q281R6","Q281r6: In a store - In the past four years, have you experienced discrimination","factor",17545
"Q281R7","Q281r7: From other people - In the past four years, have you experienced discrim","factor",17545
"Q281R8","Q281r8: Other - In the past four years, have you experienced discrimination or e","factor",17545
"Q281R9","Q281r9: No, none of these - In the past four years, have you experienced discrim","factor",17545
"Q282SPLIT","q282split: holds split for 282/283","factor",17545
"Q282","Q282: Different people feel differently about voting. For some Americans voting","factor",4728
"Q283","Q283: Different people feel differently about voting. For some [pipe: S2_Race_Pr","factor",4666
"Q284","Q284: How strongly do you feel that voting in an election is a duty?","factor",2737
"Q285SPLIT","q285split: holds split for q285/286","factor",17545
"Q285","Q285: Here is a list of four things that some people have done and some people h","factor",4621
"Q286","Q286: Here is a list of five things that some people have done and some people h","factor",4773
"Q287SPLIT","q287split: holds split for q287/295/301 batteries","factor",17545
"Q287R1","Q287r1: [pipe: S2_Race_Prime] - Here are some group categories you checked earli","factor",6047
"Q287R2","Q287r2: [pipe: ancestryverb] - Here are some group categories you checked earlie","factor",4577
"Q287R3","Q287r3: [pipe: genderverb] - Here are some group categories you checked earlier","factor",6047
"Q287R4","Q287r4: [pipe: religionverb] - Here are some group categories you checked earlie","factor",6043
"Q287R5","Q287r5: Your socioeconomic class - Here are some group categories you checked ea","factor",6047
"Q287R6","Q287r6: [pipe: partyverb] - Here are some group categories you checked earlier i","factor",6047
"Q287R7","Q287r7: Other (SPECIFY) - Here are some group categories you checked earlier in","factor",6047
"Q287R7OE","Q287r7oe: Here are some group categories you checked earlier in this survey. If","factor",17545
"Q294","Q294: Which of these groups is most important to your sense of personal identity","factor",6047
"Q294R7OE","Q294r7oe: Which of these groups is most important to your sense of personal iden","factor",17545
"Q295R1","Q295r1: [pipe: S2_Race_Prime] - We often describe people using one or only a few","numeric",5893
"Q295R2","Q295r2: [pipe: ancestryverb] - We often describe people using one or only a few","numeric",4507
"Q295R3","Q295r3: [pipe: genderverb] - We often describe people using one or only a few pa","numeric",5893
"Q295R4","Q295r4: [pipe: religionverb] - We often describe people using one or only a few","numeric",5890
"Q295R5","Q295r5: Your socioeconomic class - We often describe people using one or only a","numeric",5893
"Q295R6","Q295r6: Other (SPECIFY) - We often describe people using one or only a few parts","numeric",2839
"Q295R6OE","Q295r6oe: We often describe people using one or only a few parts of their identi","factor",17545
"C2PID","C2PID: Category with highest point value from B 295-300","factor",5893
"C2PP","C2PP: Highest point value from B 295-300","numeric",5893
"Q301R1","Q301r1: [pipe: S2_Race_Prime] - We often describe people using one or only a few","numeric",5605
"Q301R2","Q301r2: [pipe: ancestryverb] - We often describe people using one or only a few","numeric",4195
"Q301R3","Q301r3: [pipe: genderverb] - We often describe people using one or only a few pa","numeric",5605
"Q301R4","Q301r4: [pipe: religionverb] - We often describe people using one or only a few","numeric",5599
"Q301R5","Q301r5: Your socioeconomic class - We often describe people using one or only a","numeric",5605
"Q301R6","Q301r6: [pipe: partyverb] - We often describe people using one or only a few par","numeric",5605
"Q301R7","Q301r7: Other - We often describe people using one or only a few parts of their","numeric",5605
"Q301R7OE","Q301r7oe: We often describe people using one or only a few parts of their identi","factor",17545
"C3PID","C3PID: Category with highest point value from C 301-307","factor",5605
"C3PP","C3PP: Highest point value from C 301-307","numeric",5605
"Q308R1","Q308r1: Undocumented immigrants - How would you rate your feelings toward each o","numeric",17545
"Q308R2","Q308r2: Gun owners - How would you rate your feelings toward each of the followi","numeric",17545
"Q308R3","Q308r3: Veterans - How would you rate your feelings toward each of the following","numeric",17545
"Q308R4","Q308r4: Welfare recipients - How would you rate your feelings toward each of the","numeric",17545
"Q308R5","Q308r5: Climate change activists - How would you rate your feelings toward each","numeric",17545
"Q308R6","Q308r6: #MeToo Movement - How would you rate your feelings toward each of the fo","numeric",17545
"Q308R7","Q308r7: #BlackLivesMatter - How would you rate your feelings toward each of the","numeric",17545
"Q315_TEXT","Q315_text: New Single Select Question","factor",17545
"Q315","Q315: How much do you think being","factor",17545
"Q316R1","Q316r1: Their racial background is the same as yours - When you vote in an elect","factor",17545
"Q316R2","Q316r2: Their gender is the same as yours - When you vote in an election, how im","factor",17545
"Q316R3","Q316r3: They talk about what they will do if they are elected - When you vote in","factor",17545
"Q316R4","Q316r4: They share the same values as you do - When you vote in an election, how","factor",17545
"Q316R5","Q316r5: They believe the same issues are as important as you - When you vote in","factor",17545
"Q316R6","Q316r6: They take the same stances on most of the same political issues - When y","factor",17545
"Q316R7","Q316r7: They are in the same party as you - When you vote in an election, how im","factor",17545
"Q323BLWSPLIT","q323BLWsplit: holds split selection for BLW","factor",12409
"BLWNAMESPLIT","BLWnamesplit: holds name for BLW","factor",12409
"BLWETHSPLIT","BLWethsplit: holds eth for BLW","factor",12409
"BLWGENDERSPLIT","BLWgendersplit: holds gender for BLW","factor",12409
"BLWSTATEMENTSPLIT","BLWstatementsplit: holds statement for BLW","factor",12409
"Q323APISPLIT","q323APIsplit: holds split selection for API","factor",4091
"APINAMESPLIT","APInamesplit: holds name for API","factor",4091
"APIETHSPLIT","APIethsplit: holds eth for API","factor",4091
"APIGENDERSPLIT","APIgendersplit: holds gender for API","factor",4091
"APISTATEMENTSPLIT","APIstatementsplit: holds statement for API","factor",4091
"Q323NINHSPLIT","q323NINHsplit: holds split selection for NINH","factor",819
"NINHNAMESPLIT","NINHnamesplit: holds name for NINH","factor",819
"NINHETHSPLIT","NINHethsplit: holds eth for NINH","factor",819
"NINHGENDERSPLIT","NINHgendersplit: holds gender for NINH","factor",819
"NINHSTATEMENTSPLIT","NINHstatementsplit: holds statement for NINH","factor",819
"Q323_BLW","Q323_BLW: [pipe: BLWnamesplit] is a [pipe: BLWethsplit] [pipe: BLWgendersplit] c","factor",12409
"Q323_API","Q323_API: [pipe: APInamesplit] is a [pipe: APIethsplit] [pipe: APIgendersplit] c","factor",4091
"Q323_NINH","Q323_NINH: [pipe: NINHnamesplit] is a [pipe: NINHethsplit] [pipe: NINHgenderspli","factor",819
"Q324","Q324: How well do you think the candidate could represent your interests?","factor",17545
"Q325_BLW","Q325_BLW: How much do you think you could trust [pipe: BLWnamesplit]?","factor",12409
"Q325_API","Q325_API: How much do you think you could trust [pipe: APInamesplit]?","factor",4091
"Q325_NINH","Q325_NINH: How much do you think you could trust [pipe: NINHnamesplit]?","factor",819
"Q326R1","Q326r1: Achieve [pipe: BLWstatementsplit] - Which of the following to you think","factor",12409
"Q326R2","Q326r2: Achieve [pipe: APIstatementsplit] - Which of the following to you think","factor",4091
"Q326R3","Q326r3: Achieve [pipe: NIHNstatementsplit] - Which of the following to you think","factor",819
"Q326R4","Q326r4: Represent [pipe: S2_Race_Prime] people like me - Which of the following","factor",17545
"Q326R5","Q326r5: Represent all [pipe: BLWethsplit] people - Which of the following to you","factor",12409
"Q326R6","Q326r6: Represent all [pipe: APIethsplit] people - Which of the following to you","factor",4091
"Q326R7","Q326r7: Represent all [pipe: NIHNethsplit] people - Which of the following to yo","factor",819
"Q329R1","Q329r1: Whites - Choosing only three groups from the list below, please indicate","factor",1873
"Q329R2","Q329r2: Blacks - Choosing only three groups from the list below, please indicate","factor",6318
"Q329R3","Q329r3: Hispanics - Choosing only three groups from the list below, please indic","factor",3803
"Q329R4","Q329r4: Men - Choosing only three groups from the list below, please indicate ho","factor",2554
"Q329R5","Q329r5: Blue Collar Workers - Choosing only three groups from the list below, pl","factor",8360
"Q329R6","Q329r6: Asians - Choosing only three groups from the list below, please indicate","factor",2720
"Q329R7","Q329r7: Homeowners - Choosing only three groups from the list below, please indi","factor",5814
"Q329R8","Q329r8: Women - Choosing only three groups from the list below, please indicate","factor",7278
"Q329R9","Q329r9: Young People - Choosing only three groups from the list below, please in","factor",6737
"Q329R10","Q329r10: Business Owners - Choosing only three groups from the list below, pleas","factor",7178
"Q330","Q330: What percent of the members of the U.S. House of Representatives do you th","numeric",17545
"Q331","Q331: What percent of the members of the U.S. House of Representatives do you th","numeric",17545
"Q332","Q332: What percent of the members of the U.S. House of Representatives do you th","numeric",17545
"Q333","Q333: Congressional districts are redrawn every ten years by each state. But how","factor",9394
"Q334","Q334: Would your position change if having some districts where Blacks and Hispa","factor",2318
"Q335","Q335: Would your position change if having Blacks and Hispanics spread evenly ac","factor",4721
"Q336R1C1","Q336r1c1: Radical social change that dismantles institutions such as marriage an","numeric",525
"Q336R2C1","Q336r2c1: Civil rights protections, such as employment and housing policies that","numeric",525
"Q336R3C1","Q336r3c1: Civil liberties protections, such as the right to privacy from governm","numeric",525
